產品料號,產品批號,管制項目,線別,班別,機台,樣本值,樣本值,樣本值
# 說明：除了必填欄位（產品料號、產品批號、管制項目、樣本值）外，其他欄位會自動識別為層別資訊
# 範例：上傳後可在預覽頁面勾選「線別」和「班別」作為命名層別，設定分割符為「_」，則計畫名稱為「A線_早班」
AC20J106K101BBHTX,R024745,鎳,A線,早班,M001,9.781,9.567,9.461
AC20J106K101BBHTX,R024745,錫,A線,早班,M001,8.234,8.123,8.056
AC20J106K101BBHTX,R024745,銅,A線,早班,M001,7.456,7.389,7.512
AC20J106K101BBHTX,R024745,鎳,A線,晚班,M002,9.234,9.345,9.123
AC20J106K101BBHTX,R024746,鎳,B線,早班,M003,9.111,9.222,9.333
AC20J106K101BBHTX,R024746,錫,B線,早班,M003,8.445,8.556,8.667
AC20J106K101BBHTX,R024746,銅,B線,晚班,M004,7.789,7.654,7.890
# 同一計畫（同樣的層別組合）可包含多個管制項目
AC20J106K101BBHTX,R024747,鎳,C線,早班,M005,9.567,9.678,9.789
AC20J106K101BBHTX,R024747,錫,C線,早班,M005,8.345,8.456,8.567
